#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
1,一,一,yī,1,"one; a, an; alone",一 1.0,1,1,G1,2,2,-,2,2,1,1
2,七,七,qī,1,seven,一 1.1,2,1,G3,498,530,-,126,2,3,7
3,万,万,wàn,4,ten thousand; innumerable,一 1.2,3,3,G3,414,322,-,422,3,4,35
4,三,三,sān,1,three,一 1.2,3,1,G1,108,125,-,62,3,6,22
5,上,上,shàng,4,"top; superior, highest; go up, send up",一 1.2,3,1,G1,16,16,-,16,5,7,36
6,下,下,xià,4,"under, underneath, below; down; inferior; bring down",一 1.2,3,1,G1,40,42,-,30,3,8,30
7,不,不,bù,4,"no, not; un-; negative prefix",一 1.3,4,1,G1,4,4,-,4,2,9,91
8,妻,妻,qī,1,wife,女 38.5,8,2,G5,1125,1076,-,319,2,635,1056
9,除,除,chú,2,"eliminate, remove, except",阜 170.7,9,3,G3,471,464,-,452,3,2527,1732
10,个,个,gè,4,"numerary adjunct, piece; single",丨 2.2,3,1,G1,12,12,-,12,2,26,45
11,可,可,kě,3,"may, can, -able; possibly",口 30.2,5,2,G1,30,30,-,180,2,392,212
12,久,久,jiǔ,3,"long time (ago); time passage, grow late",丿 4.2,3,3,G3,531,637,-,492,3,36,47
13,九,九,jiǔ,3,nine,乙 5.1,2,1,G2,310,445,-,117,3,49,15
14,也,也,yě,3,also; classical final particle of strong affirmation or identity,乙 5.2,3,2,G2,196,31,-,181,2,51,66
15,失,失,shī,1,"lose; make mistake, neglect",大 37.2,5,4,G3,436,375,-,697,3,604,265
16,便,便,biàn,4,"convenience, ease; expedient",人 9.7,9,2,G2,263,271,-,233,4,157,1556
17,了,了,le,0,to finish; particle of completed action,亅 6.1,2,1,G1,5,5,-,5,2,58,17
18,就,就,jiù,4,"just, simply; to come, go to; to approach, near",尢 43.9,12,2,G1,27,27,-,179,3,733,2728
19,二,二,èr,4,two; twice,二 7.0,2,1,G1,130,157,-,69,2,62,3
20,五,五,wǔ,3,five; surname,二 7.2,4,1,G2,266,279,-,94,2,67,88
21,想,想,xiǎng,3,"think, speculate, plan, consider",心 61.9,13,1,G1,94,99,-,57,5,948,2867
22,人,人,rén,2,man; people; mankind; someone else,人 9.0,2,1,G1,7,7,-,7,3,80,10
23,从,从,cóng,2,"from, by, since, whence, through",人 9.2,4,2,G1,93,98,-,195,4,89,142
24,任,任,rèn,4,"trust to, rely on, appoint; to bear, duty, office; allow",人 9.4,6,4,G3,381,186,-,635,3,104,467
25,叔,叔,shū,1,,又 29.6,8,3,G4,935,1422,-,575,3,375,1065
26,金,金,jīn,1,gold; metals in general; money,金 167.0,8,4,G2,259,260,-,655,3,2454,1166
27,京,京,jīng,1,capital city,亠 8.6,8,1,G6,1394,566,-,129,4,76,1205
28,旅,旅,lǚ,3,"trip, journey; travel; traveler",方 70.6,10,2,G4,835,950,-,305,2,1188,2046
29,资,资,zī,1,property; wealth; capital,貝 154.6,10,4,G4,642,257,-,653,2,2289,2039
30,旁,旁,páng,2,"side; by side, close by, near",方 70.6,10,2,G3,605,981,-,308,4,1187,2045
31,凉,凉,liáng,2,"cool, cold; disheartened",冫 15.8,10,4,G4,958,1581,-,972,5,248,2040
32,元,元,yuán,2,first; dollar; origin; head,儿 10.2,4,3,G2,294,370,-,431,4,201,80
33,厕,厕,cè,4,"mingle with; toilet, lavatory",厂 27.6,8,4,G7,2268,2920,-,1058,2,358,1047
34,流,流,liú,2,"flow, circulate, drift; class",水 85.6,10,4,G2,299,396,-,702,3,1454,2080
35,八,八,bā,1,"eight; all around, all sides",八 12.0,2,1,G2,311,451,-,119,2,216,9
36,末,末,mò,4,"final, last, end; insignificant",木 75.1,5,3,G4,895,1164,-,560,2,1257,193
37,衬,衬,chèn,4,underwear; inner garments,衣 145.3,8,3,G7,2200,2502,-,612,4,2152,1292
38,系,系,xì,4,"system; line, link, connection",糸 120.1,7,1,G4,639,216,-,83,2,1875,825
39,尽,尽,jǐn,3,"exhaust, use up; deplete",尸 44.3,6,4,G4,688,488,-,731,3,737,566
40,多,多,duō,1,"much, many; more than, over",夕 36.3,6,1,G1,59,61,-,36,3,596,507
41,油,油,yóu,2,"oil, fat, grease, lard; paints",水 85.5,8,4,G3,601,948,-,868,3,1421,1248
42,萌,萌,méng,2,"bud, sprout",艸 140.8,11,6,G8,2488,2879,-,2475,4,2093,2203
43,几,几,jǐ,3,small table,几 16.0,2,1,G1,155,211,-,81,2,253,14
44,欢,欢,huān,1,"happy, pleased, glad; joy; enjoy",欠 76.2,6,1,G2,346,685,-,142,4,1354,587
45,刀,刀,dāo,1,knife; old coin; measure,刀 18.0,2,4,G4,868,1067,-,884,3,261,18
46,月,月,yuè,4,moon; month; KangXi radical 74,月 74.0,4,1,G1,137,169,-,72,3,1247,150
47,译,译,yì,4,translate; decode; encode,言 149.5,7,4,G6,1479,1198,-,912,2,2215,898
48,择,择,zé,2,"select, choose, pick out",手 64.5,8,3,G5,1092,961,-,537,2,1053,992
49,特,特,tè,4,"special, unique, distinguished",牛 93.6,10,3,G3,380,173,-,384,2,1601,1938
50,锻,锻,duàn,4,"forge metal; temper, refine",金 167.9,14,3,G7,2206,2531,-,613,4,2489,3114
51,粥,粥,zhōu,1,"rice gruel, congee",米 119.6,12,6,G8,2519,3021,-,2526,4,1866,2803
52,赢,赢,yíng,2,"win; surplus, gain, profit",亠 8.15,17,4,G7,2005,1836,-,998,4,2299,3427
53,坏,坏,huài,4,"rotten, spoilt, bad, broken down",土 32.4,7,3,G3,577,832,-,521,4,542,616
54,次,次,cì,4,"order, sequence; next",欠 76.2,6,2,G1,145,183,-,218,2,1353,521
55,十,十,shí,2,"ten, tenth; complete; perfect",十 24.0,2,1,G1,99,112,-,59,3,329,4
56,千,千,qiān,1,"thousand; many, numerous; very; (Cant.) a cheater, swindler",十 24.1,3,2,G3,518,599,-,277,4,330,41
57,江,江,jiāng,1,large river; yangzi; surname,水 85.3,6,4,G4,719,577,-,762,5,1402,538
58,明,明,míng,2,"bright, light, brilliant; clear",日 72.4,8,1,G1,105,121,-,61,4,1207,1087
59,湾,湾,wān,1,"bay, cove, inlet, bend of stream",水 85.9,12,6,G3,583,855,-,1712,3,1502,2764
60,鸟,鸟,niǎo,3,bird; KangXi radical 196,鳥 196.0,5,3,G3,629,1263,-,566,4,2645,296
61,又,又,yòu,4,"and, also, again, in addition",又 29.0,2,3,G1,109,126,-,371,3,368,21
62,叉,叉,chā,1,"crotch; fork, prong",又 29.1,3,5,G7,2124,2231,-,1601,3,369,71
63,生,生,shēng,1,"life, living, lifetime; birth",生 100.0,5,1,G1,33,34,-,26,5,1648,263
64,极,极,jí,2,"extreme, utmost, furthest, final",木 75.3,7,3,G3,430,363,-,428,2,1281,687
65,划,划,huà,4,to row or paddle boat; to scratch,刀 18.4,6,4,G6,1393,522,-,740,3,266,407
66,当,当,dāng,1,"bear, accept, undertake; just",小 42.3,6,3,G1,69,71,-,360,4,855,418
67,边,边,biān,1,"edge, margin, side, border",辵 162.2,5,2,G1,174,316,-,243,4,2367,337
68,而,而,ér,2,and; and then; and yet; but,而 126.0,6,3,G3,371,36,-,349,2,1964,392
69,责,责,zé,2,,貝 154.4,8,4,G4,702,535,-,744,2,2267,948
70,图,图,tú,2,"diagram; chart, map, picture",囗 31.5,8,3,G3,477,476,-,455,2,531,1119
71,咖,咖,kā,1,coffee; a phonetic,口 30.5,8,2,G8,2383,2379,-,344,2,447,1104
72,者,者,zhě,3,that which; he who; those who,老 125.4,8,3,G3,373,103,-,368,3,1963,969
73,铅,铅,qiān,1,lead,金 167.5,10,2,G5,1385,2641,-,347,4,2471,1934
74,铁,铁,tiě,3,"iron; strong, solid, firm",金 167.5,10,3,G4,781,779,-,514,3,2469,1932
75,数,数,shù,4,"number; several, count; fate",攴 66.9,13,3,G2,243,231,-,397,3,1169,2999
76,舞,舞,wǔ,3,"dance, posture, prance; brandish",舛 136.8,14,2,G3,622,1144,-,321,2,2049,3116
77,早,早,zǎo,3,early; soon; morning,日 72.2,6,2,G1,187,462,-,264,3,1198,419
78,抱,抱,bào,4,"embrace, hold in arms, enfold",手 64.5,8,4,G4,883,1122,-,898,3,1026,978
79,输,输,shū,1,"transport, carry, haul",車 159.9,13,4,G5,1082,939,-,865,3,2353,2890
80,闷,闷,mèn,4,"gloomy, depressed, melancholy",門 169.4,7,6,G6,1686,1830,-,2023,3,2501,848
81,财,财,cái,2,"wealth, valuables, riches",貝 154.3,7,5,G4,753,680,-,1157,3,2266,756
82,亮,亮,liàng,4,"bright, brilliant, radiant, light",亠 8.7,9,1,G2,356,840,-,152,5,78,1621
83,烟,烟,yān,1,"smoke, soot; opium; tobacco, cigarettes",火 86.6,10,4,G4,838,967,-,871,3,1561,2062
84,前,前,qián,2,"in front, forward; preceding",刀 18.7,9,1,G1,88,93,-,55,4,286,1650
85,伞,伞,sǎn,3,"umbrella, parasol, parachute",人 9.4,6,3,G6,1790,2202,-,607,3,116,493
86,刻,刻,kè,4,"carve, engrave; quarter hour",刀 18.6,8,3,G3,527,618,-,487,2,283,1224
87,大,大,dà,4,"big, great, vast, large, high",大 37.0,3,1,G1,17,17,-,17,2,599,32
88,天,天,tiān,1,"sky, heaven; god, celestial",大 37.1,4,1,G1,76,78,-,47,4,600,78
89,太,太,tài,4,"very, too, much; big; extreme",大 37.1,4,1,G1,162,240,-,90,3,601,93
90,兴,兴,xìng,4,"thrive, prosper, flourish",八 12.4,6,1,G2,324,531,-,127,4,221,544
91,女,女,nǚ,3,"woman, girl; feminine; rad. 38",女 38.0,3,1,G2,239,224,-,86,2,620,67
92,怎,怎,zěn,3,what? why? how?,心 61.5,9,1,G2,295,382,-,108,3,894,1543
93,昨,昨,zuó,2,"yesterday; in former times, past",日 72.5,9,1,G4,946,1475,-,169,3,1215,1489
94,珍,珍,zhēn,1,"precious, valuable, rare",玉 96.5,9,5,G5,1200,1314,-,1361,4,1632,1358
95,那,那,nà,4,"that, that one, those",邑 163.4,6,1,G1,36,38,-,29,2,2425,564
96,甜,甜,tián,2,"sweet, sweetness",甘 99.6,11,3,G5,1349,2020,-,603,4,1647,2311
97,医,医,yī,1,"cure, heal; doctor, medical",匸 23.5,7,1,G3,480,482,-,123,2,328,700
98,小,小,xiǎo,3,"small, tiny, insignificant",小 42.0,3,1,G1,81,83,-,50,4,724,37
99,少,少,shǎo,3,"few, less, inadequate",小 42.1,4,1,G2,245,233,-,89,4,725,110
100,得,得,dé,2,"obtain, get, gain, acquire",彳 60.8,11,2,G1,37,39,-,182,2,872,2341
101,拍,拍,pāi,1,"clap, tap, beat; beat or rhythm",手 64.5,8,5,G4,896,1167,-,1317,3,1036,970
102,加,加,jiā,1,"add to, increase, augment",力 19.3,5,3,G2,216,166,-,383,3,301,335
103,耳,耳,ěr,3,"ear; merely, only; handle",耳 128.0,6,3,G4,820,887,-,525,2,1969,369
104,干,干,gàn,4,"oppose, offend; invade; dried",干 51.0,3,3,G3,426,353,-,427,3,807,23
105,松,松,sōng,1,pine tree; fir tree,木 75.4,8,4,G5,1072,895,-,856,4,1279,1026
106,开,开,kāi,1,"open; initiate, begin, start",廾 55.1,4,1,G1,89,94,-,56,3,839,76
107,船,船,chuán,2,"ship, boat, vessel",舟 137.5,11,3,G3,525,614,-,485,5,2056,2345
108,端,端,duān,1,"end, extreme; head; beginning",立 117.9,14,6,G4,830,916,-,1718,4,1831,3151
109,检,检,jiǎn,3,check; examine,木 75.7,11,3,G5,1035,731,-,505,4,1330,2227
110,练,练,liàn,4,"to practice, drill, exercise, train",糸 120.5,8,3,G3,608,1005,-,543,4,1900,1337
111,累,累,lèi,4,"tired; implicate, involve; bother",糸 120.5,11,2,G5,1205,1323,-,333,3,1881,2282
112,健,健,jiàn,4,"strong, robust, healthy; strength",人 9.9,10,3,G4,840,979,-,538,4,185,1969
113,手,手,shǒu,3,hand,手 64.0,4,2,G1,121,143,-,211,4,987,121
114,才,才,cái,2,"talent, ability; just, only",手 64.0,3,3,G1,161,235,-,399,3,988,29
115,他,他,tā,1,"other, another; he, she, it",人 9.3,5,1,G1,10,10,-,10,2,92,277
116,度,度,dù,4,"degree, system; manner; to consider",广 53.6,9,4,G2,222,184,-,634,2,829,1622
117,炼,炼,liàn,4,"smelt, refine; distill, condense",火 86.5,9,3,G7,1985,1763,-,592,4,1555,1655
118,点,点,diǎn,3,"dot, speck, spot; point, degree",火 86.5,9,1,G1,110,128,-,64,4,1554,1469
119,篮,篮,lán,2,basket,竹 118.10,16,2,G5,1371,2357,-,343,3,1856,3357
120,日,日,rì,4,sun; day; daytime,日 72.0,4,2,G1,95,101,-,196,2,1194,112
121,场,场,chǎng,3,"open space, field, market",土 32.3,6,2,G2,254,249,-,231,5,538,367
122,阿,阿,ā,1,,阜 170.5,7,3,G3,475,471,-,453,1,2516,913
123,简,简,jiǎn,3,"simple, terse, succinct, a letter",竹 118.7,13,3,G4,764,716,-,501,4,1850,2954
124,退,退,tuì,4,"step back, retreat, withdraw",辵 162.6,9,5,G4,766,723,-,1170,3,2392,1720
125,心,心,xīn,1,"heart; mind, intelligence; soul",心 61.0,4,3,G1,86,90,-,365,3,879,174
126,完,完,wán,2,"complete, finish, settle; whole",宀 40.4,7,2,G1,171,301,-,239,3,680,877
127,写,写,xiě,3,"write; draw, sketch; compose",冖 14.3,5,1,G1,186,448,-,118,3,233,316
128,祝,祝,zhù,4,pray for happiness or blessings,示 113.5,9,4,G5,1288,1651,-,987,3,1778,1712
129,家,家,jiā,1,"house, home, residence; family",宀 40.7,10,1,G1,54,56,-,35,3,700,2099
130,珠,珠,zhū,1,"precious stone, gem, jewel, pearl",玉 96.6,10,6,G4,917,1286,-,1804,3,1633,1773
131,帽,帽,mào,4,"hat, cap; cap-like tops",巾 50.9,12,3,G5,1309,1750,-,591,3,803,2649
132,语,语,yǔ,3,"language, words; saying, expression",言 149.7,9,1,G2,318,493,-,125,2,2227,1707
133,怕,怕,pà,4,"to fear, be afraid of; apprehensive",心 61.5,8,3,G2,337,631,-,490,2,896,1269
134,都,都,dōu,1,"metropolis, capital; all, the whole; elegant, refined",邑 163.9,10,1,G1,66,68,-,40,3,2433,1801
135,识,识,shí,2,"recognize, understand, know",言 149.5,7,1,G3,422,340,-,103,3,2210,892
136,脏,脏,zàng,4,"internal organs, viscera; dirty",肉 130.6,10,4,G5,1286,1634,-,983,4,2015,1998
137,比,比,bǐ,3,"to compare, liken; comparison; than",比 81.0,4,2,G1,150,199,-,222,2,1384,105
138,毛,毛,máo,2,"hair, fur, feathers; coarse",毛 82.0,4,4,G3,529,623,-,777,3,1386,123
139,水,水,shuǐ,3,"water, liquid, lotion, juice",水 85.0,4,1,G1,151,202,-,79,4,1395,117
140,晚,晚,wǎn,3,"night, evening; late",日 72.7,11,2,G2,340,641,-,283,3,1224,2270
141,妹,妹,mèi,4,younger sister,女 38.5,8,2,G2,369,1185,-,323,3,634,1324
142,箱,箱,xiāng,1,"case, box, chest, trunk",竹 118.9,15,3,G4,942,1453,-,578,5,1854,3265
143,王,王,wáng,2,"king, ruler; royal; surname",玉 96.0,4,5,G2,274,299,-,1081,4,1627,75
144,情,情,qíng,2,"feeling, sentiment, emotion",心 61.8,11,2,G1,104,120,-,203,4,932,2438
145,向,向,xiàng,4,"toward, direction, trend",口 30.3,6,3,G2,213,146,-,376,5,411,480
146,啊,啊,a,0,exclamatory particle,口 30.8,10,3,G3,557,753,-,509,1,485,1915
147,然,然,rán,2,"yes, certainly; pledge, promise",火 86.8,12,2,G1,53,55,-,187,3,1570,2723
148,乓,乓,pāng,1,used with ping for ping pong,丿 4.5,6,4,G8,2576,3502,-,1063,4,45,457
149,快,快,kuài,4,"rapid, quick, speedy, fast; soon",心 61.4,7,2,G1,181,366,-,251,4,889,876
150,瘦,瘦,shòu,4,"thin, emaciated, lean; meager",疒 104.10,14,3,G6,1689,1841,-,595,4,1687,3147
151,居,居,jū,1,"live, dwell, reside, sit",尸 44.5,8,3,G3,542,678,-,496,2,742,1308
152,信,信,xìn,4,"trust, believe; letter",人 9.7,9,3,G2,219,176,-,385,3,164,1570
153,望,望,wàng,4,"to look at, look forward; to hope, expect",月 74.7,11,2,G2,282,326,-,244,4,1252,2394
154,男,男,nán,2,"male, man; son; baron; surname",田 102.2,7,2,G3,519,602,-,278,3,1657,733
155,足,足,zú,2,"foot; attain, satisfy, enough",足 157.0,7,2,G3,496,527,-,273,2,2311,731
156,苹,苹,píng,2,artemisia; duckweed; apple,艸 140.5,8,1,G7,2194,2478,-,174,4,2075,1004
157,法,法,fǎ,3,"law, rule, regulation, statute; France, French",水 85.5,8,3,G1,63,65,-,358,2,1430,1241
158,宫,宫,gōng,1,palace,宀 40.6,9,6,G5,1098,982,-,1735,4,695,1698
159,最,最,zuì,4,"most, extremely, exceedingly",曰 73.8,12,2,G1,118,139,-,210,3,1246,2614
160,货,货,huò,4,"goods, commodities, products",貝 154.4,8,4,G4,793,818,-,832,3,2271,1151
161,见,见,jiàn,4,"see, observe, behold; perceive",見 147.0,4,1,G1,127,153,-,67,4,2174,118
162,害,害,hài,4,"injure, harm; destroy, kill",宀 40.7,10,3,G2,332,579,-,479,3,697,2097
163,导,导,dǎo,3,"direct, guide, lead, conduct",寸 41.3,6,4,G4,656,343,-,685,3,718,567
164,药,药,yào,4,leaf of Dahurian angelica plant; medicine,艸 140.6,9,2,G3,540,662,-,286,3,2087,1423
165,亲,亲,qīn,1,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",立 117.4,9,4,G2,291,362,-,693,3,79,1631
166,车,车,chē,1,"cart, vehicle; carry in cart",車 159.0,4,1,G1,180,361,-,106,3,2338,100
167,条,条,tiáo,2,"clause, condition; string, stripe",木 75.3,7,2,G2,234,214,-,226,4,1275,816
168,料,料,liào,4,"consider, conjecture; materials, ingredients",斗 68.6,10,3,G3,506,557,-,471,4,1176,2054
169,结,结,jié,2,"knot, tie; join, connect",糸 120.6,9,3,G2,247,236,-,400,3,1911,1754
170,职,职,zhí,2,"duty, profession; office, post",耳 128.5,11,4,G5,1007,616,-,774,3,1975,2192
171,饼,饼,bǐng,3,"rice-cakes, biscuits",食 184.6,9,4,G5,1372,2359,-,1038,4,2611,1614
172,将,将,jiāng,1,"will, going to, future; general",爿 90.6,9,4,G2,209,132,-,627,5,722,1617
173,查,查,chá,2,"investigate, examine, seek into",木 75.5,9,3,G4,678,459,-,449,3,1297,1431
174,哥,哥,gē,1,elder brother,口 30.7,10,2,G2,354,804,-,294,2,465,1852
175,长,长,zhǎng,3,long; length; excel in; leader,長 168.0,4,2,G1,98,109,-,199,5,2493,127
176,门,门,mén,2,"gate, door, entrance, opening",門 169.0,3,2,G2,223,185,-,219,3,2494,55
177,空,空,kōng,1,"empty, hollow, bare, deserted",穴 116.3,8,3,G2,264,272,-,408,4,1814,1282
178,雪,雪,xuě,3,"snow; wipe away shame, avenge",雨 173.3,11,2,G4,850,1003,-,311,3,2551,2249
179,冒,冒,mào,4,"risk, brave, dare",冂 13.7,9,3,G5,1167,1222,-,564,3,232,1486
180,渴,渴,kě,3,"thirsty, parched; yearn, pine",水 85.9,12,3,G6,1730,1972,-,601,2,1498,2758
181,以,以,yǐ,3,"by means of; thereby, therefore; consider as; in order to",人 9.3,4,2,G1,23,23,-,177,2,98,182
182,被,被,bèi,4,,衣 145.5,10,3,G1,128,154,-,380,3,2159,2118
183,颜,颜,yán,2,"face, facial appearance",頁 181.9,15,2,G4,952,1545,-,339,3,2593,3285
184,马,马,mǎ,3,horse; surname; KangXi radical 187,馬 187.0,3,3,G2,265,276,-,410,2,2620,72
185,靠,靠,kào,4,"lean on, trust, depend on; near",非 175.7,15,5,G4,789,808,-,1197,3,2567,3259
186,色,色,sè,4,"color, tint, hue, shade; form, body; beauty, desire for beauty",色 139.0,6,2,G1,172,304,-,240,2,2061,509
187,低,低,dī,1,"low; to lower, hang, bend, bow",人 9.5,7,4,G4,726,592,-,767,2,131,781
188,喂,喂,wèi,4,interjection to call attention,口 30.9,12,1,G7,2046,1988,-,173,3,493,2641
189,投,投,tóu,4,"throw, cast, fling, pitch; jump",手 64.4,7,5,G4,695,516,-,1116,3,1015,643
190,丈,丈,zhàng,4,"unit of length equal 3.3 meters; gentleman, man, husband",一 1.2,3,2,G5,1173,1242,-,328,5,5,33
191,夫,夫,fū,1,"man, male adult, husband; those",大 37.1,4,2,G3,438,377,-,254,2,602,79
192,午,午,wǔ,3,noon; 7th terrestrial branch,十 24.2,4,1,G2,366,1004,-,160,2,332,119
193,取,取,qǔ,3,"take, receive, obtain; select",又 29.6,8,4,G3,415,323,-,677,2,376,997
194,高,高,gāo,1,"high, tall; lofty, elevated",高 189.0,10,1,G1,114,134,-,65,3,2635,2021
195,专,专,zhuān,1,"monopolize, take sole possession",一 1.3,4,4,G4,687,485,-,729,5,13,83
196,地,地,de,0,"earth; soil, ground; region",土 32.3,6,3,G1,21,21,-,348,2,537,366
197,市,市,shì,4,"market, fair; city, town; trade",巾 50.2,5,3,G3,393,254,-,405,3,788,301
198,母,母,mǔ,3,mother; female elders; female,毋 80.1,5,4,G2,329,565,-,758,2,1381,345
199,应,应,yīng,1,"should, ought to, must",广 53.4,7,3,G2,212,144,-,375,4,822,836
200,护,护,hù,4,"protect, guard, defend, shelter",手 64.4,7,3,G3,497,529,-,466,2,1022,649
201,穿,穿,chuān,1,"penetrate, pierce, drill; wear",穴 116.4,9,2,G3,564,785,-,293,5,1815,1701
202,子,子,zi,0,"offspring, child; fruit, seed of; 1st terrestrial branch",子 39.0,3,1,G1,35,37,-,28,2,663,64
203,中,中,zhōng,1,"central; center, middle; in the midst of; hit (target); attain",丨 2.3,4,1,G1,14,14,-,14,5,27,113
204,睛,睛,jīng,1,eyeball; pupil of eye,目 109.8,13,2,G3,599,934,-,304,4,1731,2895
205,打,打,dǎ,3,"strike, hit, beat; fight; attack",手 64.2,5,1,G1,158,223,-,85,2,992,196
206,桶,桶,tǒng,3,"pail, bucket, tub; cask, keg",木 75.7,11,4,G6,1823,2411,-,1040,4,1322,2230
207,关,关,guān,1,frontier pass; close; relation,八 12.4,6,1,G2,207,127,-,63,4,220,532
208,习,习,xí,2,practice; flapping wings,冫 15.1,3,1,G2,345,676,-,141,2,52,70
209,保,保,bǎo,3,"protect, safeguard, defend, care",人 9.7,9,4,G3,396,266,-,660,3,163,1562
211,道,道,dào,4,"path, road, street; method, way",辵 162.9,12,2,G1,50,52,-,185,3,2416,2745
212,什,什,shén,2,"file of ten soldiers; mixed, miscellaneous",人 9.2,4,1,G1,129,156,-,68,4,82,129
213,么,么,me,0,interrogative particle; repetition of a tune small; tender,丿 4.2,3,1,G1,61,63,-,37,2,37,48
214,分,分,fēn,1,divide; small unit of time etc.,刀 18.2,4,1,G1,77,79,-,48,3,262,146
215,公,公,gōng,1,"fair, equitable; public; duke",八 12.2,4,2,G1,101,115,-,201,4,217,148
216,或,或,huò,4,"or, either, else; perhaps, maybe",戈 62.4,8,3,G1,132,160,-,381,3,977,1035
217,介,介,jiè,4,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",人 9.2,4,2,G5,1057,831,-,298,3,87,140
218,今,今,jīn,1,"now, today, modern era",人 9.2,4,1,G2,285,336,-,101,3,86,144
219,班,班,bān,1,"class, group, grade; squad; job",玉 96.6,10,2,G2,361,884,-,302,3,1634,1774
220,伤,伤,shāng,1,"wound, injury; fall ill from",人 9.4,6,4,G3,539,660,-,787,5,119,468
221,年,年,nián,2,,干 51.3,6,1,G1,43,45,-,31,4,809,444
222,史,史,shǐ,3,"history, chronicle, annals",口 30.2,5,3,G4,676,456,-,447,3,394,248
223,兄,兄,xiōng,1,elder brother,儿 10.3,5,5,G4,876,1089,-,1285,5,202,250
224,知,知,zhī,1,"know, perceive, comprehend",矢 111.3,8,2,G1,106,123,-,204,3,1746,1122
225,非,非,fēi,1,"not, negative, non-; oppose",非 175.0,8,2,G2,268,283,-,236,3,2566,1064
226,命,命,mìng,4,"life; destiny, fate, luck; an order, instruction",口 30.5,8,4,G3,394,258,-,654,4,442,1168
227,收,收,shōu,1,"gather together, collect; harvest",攴 66.2,6,4,G2,290,351,-,688,4,1154,573
228,国,国,guó,2,"nation, country, nation-state",囗 31.5,8,1,G1,20,20,-,19,3,530,1081
229,准,准,zhǔn,3,"approve, allow, permit; in accord",冫 15.8,10,2,G3,440,379,-,255,4,247,2024
230,脑,脑,nǎo,3,brain,肉 130.6,10,1,G4,738,646,-,137,3,2016,2001
231,燥,燥,zào,4,"dry, parched, arid; quick-tempered",火 86.13,17,5,G7,2219,2613,-,1652,3,1583,3430
232,病,病,bìng,4,"illness, sickness, disease",疒 104.5,10,2,G2,303,427,-,261,4,1679,2027
233,站,站,zhàn,4,"stand up; a stand, station",立 117.5,10,2,G3,502,544,-,275,4,1825,2041
234,先,先,xiān,1,"first, former, previous",儿 10.4,6,1,G2,224,188,-,76,4,205,446
235,死,死,sǐ,3,die; dead; death,歹 78.2,6,4,G2,279,317,-,674,2,1371,400
236,卡,卡,kǎ,3,"card, punch card; calorie",卜 25.3,5,3,G5,1029,717,-,502,2,343,226
237,儿,儿,ér,2,"son, child; KangXi radical 10",儿 10.0,2,1,G1,147,192,-,77,2,199,12
238,定,定,dìng,4,"decide, settle, fix",宀 40.5,8,3,G1,75,77,-,361,4,685,1276
239,宜,宜,yí,2,"suitable, right, fitting, proper",宀 40.5,8,2,G5,1188,1290,-,332,2,686,1278
240,过,过,guò,4,"pass, pass through, go across",辵 162.3,6,2,G1,44,46,-,184,3,2373,379
241,奇,奇,qí,2,"strange, unusual, uncanny, occult",大 37.5,8,3,G3,510,563,-,475,2,609,1050
242,同,同,tóng,2,"same, similar; together with",口 30.3,6,1,G1,67,69,-,41,4,407,427
243,浪,浪,làng,4,"wave; wasteful, reckless",水 85.7,10,4,G4,900,1186,-,910,4,1463,2084
244,方,方,fāng,1,"a square, rectangle; a region; local",方 70.0,4,3,G1,58,60,-,357,4,1185,163
245,你,你,nǐ,3,"you, second person pronoun",人 9.5,7,1,G1,31,32,-,24,2,138,782
246,火,火,huǒ,3,"fire, flame; burn; anger, rage",火 86.0,4,2,G2,304,433,-,263,3,1538,164
247,羽,羽,yǔ,3,"feather, plume; wings; rad. 124",羽 124.0,6,4,G5,1323,1865,-,1002,2,1954,585
248,为,为,wèi,4,"do, handle, govern, act; be",丶 3.3,4,2,G1,18,18,-,175,3,32,165
249,桌,桌,zhuō,1,"table, desk, stand",木 75.6,10,1,G4,902,1193,-,163,4,1316,1881
250,订,订,dìng,4,draw up agreement; arrange,言 149.2,4,5,G5,1153,1176,-,1322,4,2190,169
251,斤,斤,jīn,1,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",斤 69.0,4,3,G5,1324,1866,-,596,3,1179,137
252,衫,衫,shān,1,shirt; robe; gown; jacket,衣 145.3,8,3,G7,2103,2153,-,606,4,2151,1293
253,于,于,yú,2,"in, on, at; go to; surname",二 7.1,3,3,G1,38,40,-,350,2,63,24
254,视,视,shì,4,"look at, inspect, observe, see",見 147.4,8,1,G2,307,438,-,116,3,2178,1294
255,北,北,běi,3,north; northern; northward,匕 21.3,5,1,G3,412,315,-,98,3,324,227
256,话,话,huà,4,"speech, talk, language; dialect",言 149.6,8,1,G1,138,170,-,73,3,2219,1296
257,询,询,xún,2,"inquire into, ask about; consult",言 149.6,8,5,G8,2305,1617,-,1465,3,2221,1299
258,球,球,qiú,2,"ball, sphere, globe; round",玉 96.7,11,2,G2,336,628,-,281,3,1635,2155
259,绍,绍,shào,4,"continue, carry on; join",糸 120.5,8,2,G5,1171,1234,-,327,4,1906,1348
