#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
497,着,着,zhe,0,"make move, take action",目 109.6,11,2,G1,39,41,-,183,3,1729,2398
498,派,派,pài,4,"school of thought, sect, branch",水 85.6,9,5,G4,701,532,-,1122,3,1453,1673
499,觉,觉,jué,2,to wake up from sleep; conscious,見 147.5,9,1,G1,175,327,-,99,3,2180,1694
500,期,期,qī,1,period of time; date; time limit,月 74.8,12,1,G2,257,253,-,93,2,1254,2542
501,超,超,chāo,1,"jump over, leap over; surpass",走 156.5,12,3,G5,1042,754,-,510,4,2306,2517
502,越,越,yuè,4,"exceed, go beyond; the more ...",走 156.5,12,3,G3,465,440,-,441,3,2307,2514
503,旧,旧,jiù,4,"old, ancient; former, past",日 72.1,5,3,G4,829,915,-,529,3,1196,232
504,椅,椅,yǐ,3,"chair, seat",木 75.8,12,1,G5,1293,1663,-,171,2,1338,2569
505,博,博,bó,2,"gamble, play games; wide, broad",十 24.10,12,4,G5,1094,965,-,870,2,341,2521
506,是,是,shì,4,"indeed, yes, right; to be; demonstrative pronoun, this, that",日 72.5,9,1,G1,3,3,-,3,3,1216,1479
507,糖,糖,táng,2,sugar; candy; sweets,米 119.10,16,4,G4,968,1746,-,994,4,1872,3374
508,糕,糕,gāo,1,"cakes, pastry",米 119.10,16,3,G5,1375,2413,-,610,3,1871,3375
509,澡,澡,zǎo,3,"wash, bathe",水 85.13,16,3,G6,1848,2695,-,614,3,1533,3378
510,梦,梦,mèng,4,dream; visionary; wishful,木 75.7,11,4,G4,812,865,-,849,4,1325,2221
511,懒,懒,lǎn,3,"lazy, languid, listless",心 61.13,16,4,G5,1362,2230,-,1027,3,972,3380
512,帅,帅,shuài,4,"commander, commander-in-chief",巾 50.2,5,4,G7,2022,1888,-,1005,5,790,233
513,戴,戴,dài,4,wear on top; support,戈 62.14,17,4,G5,1169,1228,-,919,3,981,3388
514,答,答,dá,2,"answer, reply; return; assent to",竹 118.6,12,3,G2,328,559,-,473,2,1844,2687
515,温,温,wēn,1,lukewarm,水 85.9,12,4,G3,585,867,-,851,3,1496,2757
516,赛,赛,sài,4,"compete, contend; contest, race",宀 40.11,14,3,G3,615,1064,-,550,3,2296,3172
517,巧,巧,qiǎo,3,"skillful, ingenious, clever",工 48.2,5,4,G5,1166,1219,-,918,4,778,197
518,卖,卖,mài,4,sell; betray; show off,十 24.6,8,2,G3,604,974,-,307,3,339,1042
519,节,节,jié,2,"knot, node, joint; section",艸 140.2,5,3,G2,323,514,-,465,3,2064,209
520,花,花,huā,1,flower; blossoms,艸 140.4,7,3,G1,185,410,-,436,3,2066,665
521,让,让,ràng,4,"allow, permit, yield, concede",言 149.3,5,2,G2,286,339,-,246,4,2194,317
522,附,附,fù,4,"adhere to, append; rely on near to",阜 170.5,7,3,G4,831,923,-,531,2,2517,916
523,努,努,nǔ,3,"to exert, strive, make an effort; to pout",力 19.5,7,3,G3,617,1081,-,554,2,306,924
524,茶,茶,chá,2,tea,艸 140.6,9,1,G4,914,1272,-,165,3,2080,1411
525,鸡,鸡,jī,1,chicken,鳥 196.2,7,2,G4,932,1391,-,337,2,2646,928
526,谁,谁,shuí,2,who? whom? whose? anyone?,言 149.8,10,1,G3,534,648,-,138,4,2238,2122
527,真,真,zhēn,1,"real, actual, true, genuine",目 109.5,10,2,G1,153,204,-,224,4,1723,1832
528,校,校,xiào,4,school; military field officer,木 75.6,10,1,G2,338,633,-,136,4,1306,1847
529,样,样,yàng,4,"shape, form, pattern, style",木 75.6,10,1,G1,84,88,-,52,4,1308,1849
530,票,票,piào,4,slip of paper or bamboo; ticket,示 113.6,11,2,G4,828,910,-,303,4,1781,2235
531,筷,筷,kuài,4,chopsticks,竹 118.7,13,3,G6,1865,3110,-,617,4,1847,2955
532,像,像,xiàng,4,"a picture, image, figure; to resemble",人 9.12,13,3,G1,170,294,-,413,5,195,2961
533,码,码,mǎ,3,"number, numerals; yard; symbol",石 112.3,8,4,G6,1517,1345,-,943,2,1752,1046
534,微,微,wēi,1,"small, prefix micro-, trifling",彳 60.10,13,4,G4,742,653,-,784,3,877,2965
535,腿,腿,tuǐ,3,"legs, thighs",肉 130.10,13,3,G5,1214,1351,-,569,3,2029,2976
536,休,休,xiū,1,"rest, stop; retire; do not!",人 9.4,6,2,G3,618,1082,-,320,3,111,458
537,警,警,jǐng,3,"guard, watch; alert, alarm",言 149.13,19,4,G4,754,687,-,794,4,2187,3453
538,汁,汁,zhī,1,"juice, liquor, fluid, sap, gravy, sauce",水 85.2,5,4,G5,1381,2540,-,1048,3,1397,308
539,故,故,gù,4,"ancient, old; reason, because",攴 66.5,9,3,G2,330,572,-,477,2,1159,1418
540,调,调,diào,4,"transfer, move, change; tune",言 149.8,10,3,G3,448,400,-,433,4,2239,2123
541,算,算,suàn,4,"count, calculate, figure; plan",竹 118.8,14,3,G3,451,403,-,434,4,1851,3121
542,季,季,jì,4,quarter of year; season; surname,子 39.5,8,3,G4,915,1279,-,567,2,670,1132
543,烤,烤,kǎo,3,"bake, roast, toast, cook",火 86.6,10,4,G6,1844,2629,-,1050,3,1562,2057
544,巴,巴,bā,1,"greatly desire, anxiously hope",己 49.1,4,5,G4,707,546,-,1124,2,784,178
545,办,办,bàn,4,"manage, do, handle; deal with",力 19.2,4,3,G3,432,367,-,429,3,299,181
546,证,证,zhèng,4,"prove, confirm, verify; proof",言 149.5,7,4,G5,986,373,-,696,5,2208,885
547,净,净,jìng,4,"clean, pure; cleanse",冫 15.6,8,3,G4,927,1377,-,572,4,245,1221
548,聪,聪,cōng,1,"intelligent, clever, bright",耳 128.9,15,3,G5,1295,1669,-,586,4,1979,3206
549,近,近,jìn,4,"near, close; approach; intimate",辵 162.4,7,2,G3,435,374,-,253,3,2377,791
550,受,受,shòu,4,"receive, accept, get; bear, stand",又 29.6,8,4,G2,249,238,-,648,4,377,1174
